repo,stage,verdict,examined,qualifying,sample_prs,ok,no_test_path,no_verbatim_trailer,too_large,no_source_path
Metta-AI/coworld-crewrift,2,under_stars,0,0,0,0,0,0,0,0
Metta-AI/coworld-tribal-village,2,under_stars,0,0,0,0,0,0,0,0
MichaelYcJo/SpecSeal,2,under_stars,0,0,0,0,0,0,0,0
Michel836/trajectory-os,2,under_stars,0,0,0,0,0,0,0,0
MichielMak/docker-stacks,2,under_stars,0,0,0,0,0,0,0,0
MickaelFontes/noplp-stats,2,under_stars,0,0,0,0,0,0,0,0
MicrosoftDocs/azure-docs-sdk-java,3,no_lockfile,0,0,0,0,0,0,0,0
MicrosoftLearning/mslearn-ai-agents,3,no_lockfile,0,0,0,0,0,0,0,0
MiguelGironAltamirano/valtx-governance-v0,2,under_stars,0,0,0,0,0,0,0,0
MikeStitt/book-em-danno,2,under_stars,0,0,0,0,0,0,0,0
Mikecranesync/MIRA,2,under_stars,0,0,0,0,0,0,0,0
MindFlock/MindFlock,4,too_few_qualifying_prs,12,1,1,1,5,0,3,3
MinhHaDuong/ImperialDragonHarness,2,under_stars,0,0,0,0,0,0,0,0
Mir2569/AI-usage-tray,2,under_stars,0,0,0,0,0,0,0,0
Mishra-Kaumod/flood-depth-estimator,2,not_python,0,0,0,0,0,0,0,0
ModelCloud/LogBar,3,no_lockfile,0,0,0,0,0,0,0,0
MoodTechBasti/agentbell,2,under_stars,0,0,0,0,0,0,0,0
Morrison-Lab/ai-config,2,under_stars,0,0,0,0,0,0,0,0
Mossab28/nightshift,2,under_stars,0,0,0,0,0,0,0,0
MuhammedMJ1/Sanad,2,under_stars,0,0,0,0,0,0,0,0
MunehiroSoma/local-llm-lab,2,under_stars,0,0,0,0,0,0,0,0
MurrMurrPlatform/OpenSweep,2,under_stars,0,0,0,0,0,0,0,0
MyThingsLab/my-things-core,2,under_stars,0,0,0,0,0,0,0,0
NDilanka/orrery,2,under_stars,0,0,0,0,0,0,0,0
NPFernando/ITOps-Toolkit,2,under_stars,0,0,0,0,0,0,0,0
NPFernando/workspace-session-manager,2,under_stars,0,0,0,0,0,0,0,0
NVIDIA-TAO/tao-core,3,no_pytest,0,0,0,0,0,0,0,0
NVIDIA-TAO/tao-deploy,3,no_lockfile,0,0,0,0,0,0,0,0
NVIDIA-TAO/tao-pytorch,3,no_lockfile,0,0,0,0,0,0,0,0
NVIDIA-TAO/tao-skill-bank,3,no_lockfile,0,0,0,0,0,0,0,0
