repo,stars,pushed_at,lockfile_type,pytest_evidence,agent_pr_count_90d,sample_pr_numbers,trailer_kinds,base_sha_of_first_sample_pr,python_requires,lock_kind
bcorfman/freytag-forge,12,2026-09-02T02:42:52Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,10,426;425;424;422;421,claude-code-gen;robot-gen,1ef6255a7a42bbdd18ee67ff4768ef7bce2b07df,>=3.12,uv.lock
microsoft/apm,3670,2026-08-30T17:45:14Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,9,2179;2178;2177;2176;2174,copilot,4633dbd505175aba7a0d829c44710edd0e15e5b4,>=3.10,uv.lock
OpenHands/software-agent-sdk,1044,2026-08-31T00:07:54Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py,9,3813;3548;3510;3506;3480,claude-coauthor;claude-code-gen;codex;openhands;robot-gen,3a0a43c9e4533c718671327e65d2314de322d3a7,,uv.lock
Perseus-Computing-LLC/perseus,42,2026-09-01T21:10:31Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,9,665;503;502;463;461,claude-code-gen;robot-gen,24d6707035402d1a58c6957b6bdc60a2bea1dd51,>=3.10,uv.lock
kayl-codes/homeassistant-truenas,33,2026-09-01T22:42:12Z,Pipfile.lock,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,9,124;120;118;109;106,claude-code-gen;robot-gen,364702800f612ac5c89e029baef3c44b2116004a,,Pipfile.lock
agentcage/agentcage,21,2026-08-30T22:14:09Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,9,337;336;335;334;329,claude-code-gen;robot-gen,92dea6dda16dd3ed05a5e60a5649a17adb4bd601,>=3.12,uv.lock
Charli3-Official/charli3-dendrite,16,2026-08-31T01:13:08Z,poetry.lock,tests/conftest.py|tests/test_*.py,9,216;205;192;190;187,claude-code-gen;robot-gen,2bebe5ed6fa5b64e0888c5cd97932b0d09d3fbc7,,poetry.lock
helpfulengineering/supply-graph-ai,14,2026-08-31T01:16:46Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py,9,428;425;424;423;422,claude-code-gen;robot-gen,01ec755d5ae14269bc0bc2d7b4cf6af54d1b015e,>=3.12,uv.lock
Comfy-Org/comfy-cli,961,2026-09-02T00:25:11Z,uv.lock+pyproject.toml,pyproject:pytest-dep|tests/conftest.py|tests/test_*.py,8,836;831;830;829;828,claude-code-gen;robot-gen,99c5a596b7ca7cd326e9b92869a6998e9a1bb99d,>=3.10,uv.lock
Agentix-Project/Agentix,73,2026-08-03T07:09:18Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,8,159;157;155;154;153,claude-code-gen;robot-gen,2321acc5a92c614cf19f91eac478c542cc2b63b6,>=3.11,uv.lock
SenolIsci/mykg,67,2026-08-31T00:27:09Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,8,61;59;57;56;52,claude-code-gen;robot-gen,02710e26faabd84e683ed9746e3c2c930bb3ab03,>=3.11,uv.lock
posit-dev/rsconnect-python,37,2026-08-31T15:00:09Z,uv.lock+pyproject.toml,conftest.py|pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,8,836;816;815;811;805,claude-coauthor;claude-code-gen;robot-gen,97cd7900f20d5f925db3103808000ca37f877773,>=3.8,uv.lock
cymoo/lovia,15,2026-08-22T07:50:58Z,uv.lock+pyproject.toml,pyproject:pytest-dep|pytest.ini|tests/conftest.py|tests/test_*.py,8,197;196;194;193;192,claude-code-gen;robot-gen,2d2581e63b8df5a48be007a235aa1c34524461ce,>=3.10,uv.lock
eniklas/gamatrix,14,2026-08-09T03:35:09Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,8,187;184;180;179;177,claude-coauthor;claude-code-gen;robot-gen,f563b7bf36bdc571da91cfad536f73634005dcf6,>=3.12,uv.lock
